,,PID,Burst,Priority,Arrival,Start,Finish,Wait,Response,Turnaround
jim_rr.csv,36,137,44,2,1590,1597,1649,16,7,60
jim_rr.csv,37,138,36,1,1655,1655,1699,9,0,45
jim_rr.csv,38,139,9,1,1670,1675,1683,5,5,14
jim_rr.csv,39,140,39,8,1700,1700,1814,76,0,115
jim_rr.csv,40,141,21,0,1705,1710,1790,65,5,86
jim_rr.csv,41,142,41,6,1720,1720,1835,75,0,116
jim_rr.csv,42,143,15,7,1735,1760,1805,56,25,71
jim_rr.csv,43,144,36,1,1760,1770,1851,56,10,92
jim_rr.csv,44,145,38,0,1855,1855,1892,0,0,38
jim_rr.csv,45,146,12,0,1920,1920,1935,4,0,16
jim_rr.csv,46,147,4,9,1930,1930,1933,0,0,4
jim_rr.csv,47,148,37,5,1935,1936,1972,1,1,38
jim_rr.csv,48,149,34,7,1990,1990,2040,17,0,51
jim_rr.csv,49,150,17,3,2000,2000,2026,10,0,27
jim_sjf-preemptive.csv,0,101,7,5,70,70,76,0,0,7
jim_sjf-preemptive.csv,1,102,24,4,140,140,163,0,0,24
jim_sjf-preemptive.csv,2,103,37,8,235,235,271,0,0,37
jim_sjf-preemptive.csv,3,104,13,3,260,272,284,12,12,25
jim_sjf-preemptive.csv,4,105,3,0,305,305,307,0,0,3
jim_sjf-preemptive.csv,5,106,56,6,360,360,415,0,0,56
jim_sjf-preemptive.csv,6,107,25,1,455,455,479,0,0,25
jim_sjf-preemptive.csv,7,108,20,1,465,480,499,15,15,35
jim_sjf-preemptive.csv,8,109,15,2,510,510,524,0,0,15
jim_sjf-preemptive.csv,9,110,17,5,570,570,586,0,0,17
jim_sjf-preemptive.csv,10,111,29,7,585,587,615,2,2,31
jim_sjf-preemptive.csv,11,112,6,0,655,655,660,0,0,6
jim_sjf-preemptive.csv,12,113,14,1,675,675,688,0,0,14
jim_sjf-preemptive.csv,13,114,26,0,715,715,740,0,0,26
jim_sjf-preemptive.csv,14,115,48,9,740,741,796,9,1,57
jim_sjf-preemptive.csv,15,116,8,2,755,755,762,0,0,8
jim_sjf-preemptive.csv,16,117,28,2,775,797,824,22,22,50
jim_sjf-preemptive.csv,17,118,59,0,790,825,916,68,35,127
jim_sjf-preemptive.csv,18,119,33,9,840,840,872,0,0,33
jim_sjf-preemptive.csv,19,120,96,0,925,925,1020,0,0,96
jim_sjf-preemptive.csv,20,121,28,0,1000,1021,1048,21,21,49
jim_sjf-preemptive.csv,21,122,65,4,1050,1087,1173,59,37,124
jim_sjf-preemptive.csv,22,123,37,2,1050,1050,1086,0,0,37
jim_sjf-preemptive.csv,23,124,99,8,1055,1187,1308,155,132,254
jim_sjf-preemptive.csv,24,125,22,7,1095,1095,1116,0,0,22
jim_sjf-preemptive.csv,25,126,13,3,1165,1174,1186,9,9,22
jim_sjf-preemptive.csv,26,127,23,8,1220,1220,1242,0,0,23
jim_sjf-preemptive.csv,27,128,56,4,1275,1346,1434,104,71,160
jim_sjf-preemptive.csv,28,129,30,6,1300,1309,1345,16,9,46
jim_sjf-preemptive.csv,29,130,7,1,1310,1310,1316,0,0,7
jim_sjf-preemptive.csv,30,131,99,7,1320,1467,1605,187,147,286
jim_sjf-preemptive.csv,31,132,29,6,1365,1365,1393,0,0,29
jim_sjf-preemptive.csv,32,133,32,2,1400,1435,1466,35,35,67
jim_sjf-preemptive.csv,33,134,4,2,1420,1420,1423,0,0,4
jim_sjf-preemptive.csv,34,135,21,2,1510,1510,1530,0,0,21
jim_sjf-preemptive.csv,35,136,19,3,1520,1531,1549,11,11,30
jim_sjf-preemptive.csv,36,137,44,2,1590,1606,1649,16,16,60
jim_sjf-preemptive.csv,37,138,36,1,1655,1655,1699,9,0,45
jim_sjf-preemptive.csv,38,139,9,1,1670,1670,1678,0,0,9
jim_sjf-preemptive.csv,39,140,39,8,1700,1700,1774,36,0,75
jim_sjf-preemptive.csv,40,141,21,0,1705,1705,1725,0,0,21
jim_sjf-preemptive.csv,41,142,41,6,1720,1811,1851,91,91,132
jim_sjf-preemptive.csv,42,143,15,7,1735,1735,1749,0,0,15
jim_sjf-preemptive.csv,43,144,36,1,1760,1775,1810,15,15,51
jim_sjf-preemptive.csv,44,145,38,0,1855,1855,1892,0,0,38
jim_sjf-preemptive.csv,45,146,12,0,1920,1920,1931,0,0,12
jim_sjf-preemptive.csv,46,147,4,9,1930,1932,1935,2,2,6
jim_sjf-preemptive.csv,47,148,37,5,1935,1936,1972,1,1,38
jim_sjf-preemptive.csv,48,149,34,7,1990,1990,2040,17,0,51
jim_sjf-preemptive.csv,49,150,17,3,2000,2000,2016,0,0,17
jim_sjf.csv,0,101,7,5,70,70,76,0,0,7
jim_sjf.csv,1,102,24,4,140,140,163,0,0,24
jim_sjf.csv,2,103,37,8,235,235,271,0,0,37
jim_sjf.csv,3,104,13,3,260,272,284,12,12,25
jim_sjf.csv,4,105,3,0,305,305,307,0,0,3
jim_sjf.csv,5,106,56,6,360,360,415,0,0,56
jim_sjf.csv,6,107,25,1,455,455,479,0,0,25
jim_sjf.csv,7,108,20,1,465,480,499,15,15,35
jim_sjf.csv,8,109,15,2,510,510,524,0,0,15
jim_sjf.csv,9,110,17,5,570,570,586,0,0,17
jim_sjf.csv,10,111,29,7,585,587,615,2,2,31
jim_sjf.csv,11,112,6,0,655,655,660,0,0,6
jim_sjf.csv,12,113,14,1,675,675,688,0,0,14
jim_sjf.csv,13,114,26,0,715,715,740,0,0,26
jim_sjf.csv,14,115,48,9,740,741,788,1,1,49
jim_sjf.csv,15,116,8,2,755,789,796,34,34,42
jim_sjf.csv,16,117,28,2,775,797,824,22,22,50
jim_sjf.csv,17,118,59,0,790,825,883,35,35,94
jim_sjf.csv,18,119,33,9,840,884,916,44,44,77
jim_sjf.csv,19,120,96,0,925,925,1020,0,0,96
jim_sjf.csv,20,121,28,0,1000,1021,1048,21,21,49
jim_sjf.csv,21,122,65,4,1050,1087,1151,37,37,102
jim_sjf.csv,22,123,37,2,1050,1050,1086,0,0,37
jim_sjf.csv,23,124,99,8,1055,1187,1285,132,132,231
jim_sjf.csv,24,125,22,7,1095,1152,1173,57,57,79
jim_sjf.csv,25,126,13,3,1165,1174,1186,9,9,22
jim_sjf.csv,26,127,23,8,1220,1286,1308,66,66,89
jim_sjf.csv,27,128,56,4,1275,1346,1401,71,71,127
jim_sjf.csv,28,129,30,6,1300,1309,1338,9,9,39
jim_sjf.csv,29,130,7,1,1310,1339,1345,29,29,36
jim_sjf.csv,30,131,99,7,1320,1467,1565,147,147,246
jim_sjf.csv,31,132,29,6,1365,1402,1430,37,37,66
jim_sjf.csv,32,133,32,2,1400,1435,1466,35,35,67
jim_sjf.csv,33,134,4,2,1420,1431,1434,11,11,15
jim_sjf.csv,34,135,21,2,1510,1585,1605,75,75,96
jim_sjf.csv,35,136,19,3,1520,1566,1584,46,46,65
jim_sjf.csv,36,137,44,2,1590,1606,1649,16,16,60
jim_sjf.csv,37,138,36,1,1655,1655,1690,0,0,36
jim_sjf.csv,38,139,9,1,1670,1691,1699,21,21,30
jim_sjf.csv,39,140,39,8,1700,1700,1738,0,0,39
jim_sjf.csv,40,141,21,0,1705,1754,1774,49,49,70
jim_sjf.csv,41,142,41,6,1720,1811,1851,91,91,132
jim_sjf.csv,42,143,15,7,1735,1739,1753,4,4,19
jim_sjf.csv,43,144,36,1,1760,1775,1810,15,15,51
jim_sjf.csv,44,145,38,0,1855,1855,1892,0,0,38
jim_sjf.csv,45,146,12,0,1920,1920,1931,0,0,12
jim_sjf.csv,46,147,4,9,1930,1932,1935,2,2,6
jim_sjf.csv,47,148,37,5,1935,1936,1972,1,1,38
jim_sjf.csv,48,149,34,7,1990,1990,2023,0,0,34
jim_sjf.csv,49,150,17,3,2000,2024,2040,24,24,41
